idx,Date,원달러환율,한국대출금리,소비자물가지수,코스닥지수평균,경기도
1,2004-01-01,1173.7,6.25,75.027,448.28,66.2
2,2004-02-01,1176.2,6.09,75.359,439.05,66.3
3,2004-03-01,1146.6,6.12,76.091,431.49,66.5
4,2004-04-01,1173.3,6.02,76.091,463.2,66.7
5,2004-05-01,1160.1,5.97,76.025,408.41,66.6
6,2004-06-01,1155.5,6.06,76.025,383.97,66.3
7,2004-07-01,1170,5.96,76.491,358.98,66
8,2004-08-01,1153,5.81,77.156,344.08,65.6
9,2004-09-01,1151.8,5.74,77.156,368.12,65.3
10,2004-10-01,1119.6,5.71,77.156,365.1,65
11,2004-11-01,1048.2,5.6,76.691,367.72,64.6
12,2004-12-01,1035.1,5.52,76.824,376.91,64.2
13,2005-01-01,1025.6,5.58,77.58,436.91,63.9
14,2005-02-01,1006,5.53,77.895,492.31,64.3
15,2005-03-01,1015.5,5.63,78.365,474.28,64.8
16,2005-04-01,1002.8,5.59,78.444,448.71,65.3
17,2005-05-01,1007.7,5.5,78.365,441.46,65.9
18,2005-06-01,1025.4,5.5,78.129,487.55,67.4
19,2005-07-01,1026.8,5.51,78.444,525.01,68.6
20,2005-08-01,1038.5,5.49,78.679,517.15,68.9
21,2005-09-01,1041.1,5.61,79.071,538.37,69
22,2005-10-01,1040.2,5.73,78.914,591.7,68.9
23,2005-11-01,1033.5,5.71,78.6,652.37,68.8
24,2005-12-01,1011.6,5.74,78.836,721.05,68.8
25,2006-01-01,964.6,5.79,79.306,708.27,69.1
26,2006-02-01,970.9,5.76,79.464,656.84,69.7
27,2006-03-01,971.6,5.89,79.934,657.5,70.4
28,2006-04-01,943.4,5.83,80.013,693.71,71.5
29,2006-05-01,945.6,5.89,80.169,663.35,73.1
30,2006-06-01,948.9,5.98,80.013,576.71,74.1
31,2006-07-01,955.2,6.1,80.326,563.45,74.5
32,2006-08-01,961.4,6.16,80.797,553.36,74.9
33,2006-09-01,946.2,6.13,81.032,597.94,75.8
34,2006-10-01,942.3,6.09,80.64,577.5,78.3
35,2006-11-01,929.5,6.04,80.248,607.57,84.6
36,2006-12-01,929.8,6.19,80.483,608.56,88.1
37,2007-01-01,941,6.32,80.64,593.23,90.2
38,2007-02-01,941.8,6.34,81.189,602.08,91
39,2007-03-01,940.9,6.37,81.66,627.46,91.4
40,2007-04-01,930.8,6.35,81.973,678,91.7
41,2007-05-01,927.7,6.48,82.052,709.78,91.6
42,2007-06-01,923.8,6.42,82.052,779.11,91.8
43,2007-07-01,919.3,6.41,82.366,811.99,92.1
44,2007-08-01,938.3,6.56,82.444,764.46,92.6
45,2007-09-01,915.1,6.7,82.915,777.61,93.1
46,2007-10-01,900.7,6.79,83.072,801.55,93.6
47,2007-11-01,921.1,6.8,83.072,755.69,94
48,2007-12-01,936.1,7.08,83.386,722.26,94.2
49,2008-01-01,943.9,7.25,83.777,667.12,94.6
50,2008-02-01,939,6.9,84.092,647.38,95
51,2008-03-01,990.4,6.9,84.876,627.49,96
52,2008-04-01,1002.6,6.91,85.347,647.78,97.5
53,2008-05-01,1030.1,6.96,86.052,649.49,98.7
54,2008-06-01,1046,7.02,86.601,619.33,99.8
55,2008-07-01,1012.2,7.12,87.229,536.92,100.4
56,2008-08-01,1089,7.31,87.072,507.14,100.7
57,2008-09-01,1207,7.44,87.151,444.16,100.9
58,2008-10-01,1291,7.79,87.072,348.31,100.4
59,2008-11-01,1469,7.53,86.837,310.48,99
60,2008-12-01,1259.5,6.89,86.837,324.98,97.6
61,2009-01-01,1379.5,5.91,86.916,355.1,96.4
62,2009-02-01,1534,5.57,87.543,377.44,95.9
63,2009-03-01,1383.5,5.5,88.17,390.98,95.4
64,2009-04-01,1282,5.4,88.405,484.22,95.3
